pick_tier,pick,player_name,School,G,GS,MP,FG,FGA,fg_pct,threep,threepa,threep_pct,twop,twopa,twop_pct,efg_pct,FT,FTA,ft_pct,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,years_played,Class,years_on_contract,rookie_salary,total_rookie_earnings,career_nba_earnings,division_level
2nd Round,32,Tomas Satoransky,CB Sevilla (Spain),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,6000000.00,International_Pro
2nd Round,33,Bernard James,Florida State,69,57,24.6,4,6.3,0.627,0,0,4,6.3,0.627,0.627,1.8,3.4,0.528,2.6,4.4,7,0.3,0.8,2.4,1.8,1.8,9.7,,,Unknown,2,631238.00,1262476.00,3000000.00,NCAA_D1
2nd Round,34,Jae Crowder,Marquette,72,52,30.2,5.2,10.6,0.492,1.4,4.1,0.35,3.8,6.5,0.581,0.56,2.7,4,0.683,2.1,5.4,7.6,1.8,1.9,0.9,1,2.5,14.6,,Unknown,2,1152303.00,2304606.00,78812976.00,NCAA_D1
2nd Round,35,Draymond Green,Michigan State,145,67,25,3.7,8,0.467,0.6,1.7,0.361,3.1,6.3,0.496,0.506,2.3,3.4,0.687,2,5.6,7.6,2.9,1.2,0.8,1.9,2.7,10.5,,Unknown,3,880000.00,2640000.00,276002484.00,NCAA_D1
2nd Round,36,Orlando Johnson,California-Santa Barbara,124,122,31.3,6,13,0.457,1.8,4.6,0.391,4.2,8.4,0.493,0.526,4.1,5.7,0.72,1.8,3.8,5.6,2.6,0.9,0.5,2.6,2.2,17.8,,Unknown,3,751371.67,2254115.00,4000000.00,NCAA_D1
2nd Round,37,Quincy Acy,Baylor,139,66,25.1,3.6,6,0.602,0,0.1,0.429,3.6,6,0.604,0.604,2.5,3.6,0.708,2.2,3.8,6,0.6,0.7,1.3,1.5,2.6,9.8,,Unknown,3,789705.00,2369115.00,3000000.00,NCAA_D1
2nd Round,38,Quincy Miller,Baylor,37,35,24.4,3.7,8.4,0.447,0.6,1.9,0.348,3.1,6.5,0.475,0.485,2.5,3.1,0.816,1.5,3.5,4.9,1.4,0.7,0.6,1.8,1.9,10.6,,Unknown,3,725906.33,2177719.00,2500000.00,NCAA_D1
2nd Round,39,Khris Middleton,Texas A&M,87,72,26,3.9,9.1,0.431,1.1,3.3,0.321,2.9,5.8,0.494,0.489,2.4,3.1,0.768,1.5,3,4.6,2,1,0.2,2,2.1,11.3,,Unknown,3,725906.33,2177719.00,247719669.00,NCAA_D1
2nd Round,40,Will Barton,Memphis,70,59,32.9,5.7,12,0.471,1.1,3.6,0.299,4.6,8.4,0.546,0.517,2.7,3.7,0.733,1.7,4.8,6.5,2.9,1.5,0.6,2.3,2.2,15.2,,Unknown,3,751371.67,2254115.00,80643920.00,NCAA_D1
2nd Round,41,Tyshawn Taylor,Kansas,146,126,27.7,3.8,7.9,0.477,0.8,2.2,0.37,3,5.7,0.518,0.529,2.5,3.5,0.708,0.3,1.9,2.2,3.9,1.2,0.2,2.6,2.1,10.8,,Unknown,2,631238.00,1262476.00,14000000.00,NCAA_D1
2nd Round,42,Doron Lamb,Kentucky,78,49,29.8,4.3,8.9,0.485,1.8,3.9,0.475,2.5,5,0.492,0.589,2.6,3.2,0.811,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2,13.1,,Unknown,3,784705.00,2354115.00,12000000.00,NCAA_D1
2nd Round,43,Mike Scott,Virginia,130,106,26.6,4.5,8.6,0.521,0.1,0.3,0.364,4.4,8.3,0.528,0.529,2.7,3.5,0.775,2.6,4.7,7.3,1,0.7,0.4,1.6,2,11.8,,Unknown,2,631238.00,1262476.00,6000000.00,NCAA_D1
2nd Round,44,Kim English,Missouri,141,106,24.2,3.7,8.7,0.42,1.7,4.3,0.394,2,4.4,0.444,0.517,2.1,2.9,0.727,0.7,2.4,3,1.4,1.1,0.2,1.7,1.8,11.1,,Unknown,2,631238.00,1262476.00,5000000.00,NCAA_D1
2nd Round,45,Justin Hamilton,Louisiana State,96,81,21.8,3,5.6,0.535,0,0.1,0.25,3,5.5,0.542,0.538,1.8,2.5,0.741,2.4,2.8,5.2,0.5,0.4,1,1.1,2,7.9,,Unknown,1,490180.00,490180.00,2000000.00,NCAA_D1
2nd Round,46,Darius Miller,Kentucky,152,82,24.9,2.9,6.5,0.448,1.2,3,0.379,1.8,3.5,0.509,0.537,1.2,1.5,0.815,1,2.2,3.2,1.8,0.8,0.7,1.4,2.3,8.2,,Unknown,2,631238.00,1262476.00,3000000.00,NCAA_D1
2nd Round,47,Kevin Murphy,Tennessee Tech,128,109,29,5.5,12.5,0.443,1.5,4,0.372,4,8.4,0.476,0.503,3.3,4.4,0.734,0.8,3.3,4.2,1.9,0.8,0.2,3,2.1,15.8,,Unknown,2,631238.00,1262476.00,6000000.00,NCAA_D1
2nd Round,48,Kostas Papanikolaou,Olympiacos B.C. (Greece),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,3000000.00,International_Pro
2nd Round,49,Kyle O'Quinn,Norfolk State,129,98,27.3,4.7,8.6,0.553,0.4,1.6,0.261,4.3,7,0.62,0.577,2.6,3.8,0.685,2.6,5.9,8.5,0.9,0.5,2.2,2,2.9,12.5,,Unknown,3,830995.67,2492987.00,19706726.00,NCAA_D1
2nd Round,50,Izzet Turkyilmaz,(No affiliation listed),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,12000000.00,No_Affiliation
2nd Round,51,Kris Joseph,Syracuse,140,77,26.6,3.5,7.8,0.449,0.8,2.4,0.331,2.7,5.4,0.501,0.5,2.7,3.9,0.702,1.3,3.2,4.5,1.5,1.3,0.5,1.6,1.6,10.5,,Unknown,2,631238.00,1262476.00,,NCAA_D1
2nd Round,52,Ognjen Kuzmic,CB Axarquia (Spain),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,53,Furkan Aldemir,Galatasaray S.K. (Turkey),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,54,Tornike Shengelia,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,55,Darius Johnson-Odom,Marquette,105,90,30.8,5.3,12,0.444,2.1,5.2,0.403,3.2,6.7,0.476,0.532,3,4.1,0.722,0.5,2.5,3.1,2.5,0.9,0.2,2.1,2.3,15.7,,Unknown,1,473604.00,473604.00,,NCAA_D1
2nd Round,56,Tomislav Zubcic,KK Cibona (Croatia),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,NCAA_D1
2nd Round,57,Ilkan Karaman,Pinar Karsiyaka (Turkey),,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,International_Pro
2nd Round,58,Robbie Hummel,Purdue,127,120,30.2,4.6,10.4,0.443,1.7,4.4,0.389,2.9,6,0.483,0.525,3.1,3.7,0.841,1.9,4.9,6.8,2.1,1,0.9,1.1,2.4,14,,Unknown,,,,,International_Pro
2nd Round,59,Marcus Denmon,Missouri,141,71,25.5,4.2,9.3,0.455,2,5,0.401,2.2,4.3,0.518,0.563,2.1,2.6,0.799,0.9,2.5,3.4,1.7,1.3,0.1,1,1.3,12.6,,Unknown,,,,,International_Pro
2nd Round,60,Robert Sacre,Gonzaga,136,111,21.7,3,6,0.504,0,0,0.25,3,5.9,0.505,0.504,3.3,4.5,0.735,1.8,3.2,5,0.7,0.5,1.4,1.6,2.3,9.3,,Unknown,1,473604.00,473604.00,2000000.00,NCAA_D1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,NCAA_D1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unknown,,,,,NCAA_D1
